April 4	 2000	1.049423
April 5	 2000	1.036062
April 6	 2000	1.038218
April 7	 2000	1.048412
April 10	 2000	1.044082
April 11	 2000	1.043642
April 12	 2000	1.043642
April 13	 2000	1.045264
April 14	 2000	1.046358
April 17	 2000	1.041029
April 18	 2000	1.053047
April 19	 2000	1.055321
April 20	 2000	1.064729
April 21	 2000	1.06602
April 24	 2000	1.064382
April 25	 2000	1.074476
April 26	 2000	1.087765
April 27	 2000	1.085866
April 28	 2000	1.100528
May 1	 2000	1.095682
May 2	 2000	1.095692
May 3	 2000	1.111506
May 4	 2000	1.121902
May 5	 2000	1.121511
May 8	 2000	1.117134
May 9	 2000	1.112273
May 10	 2000	1.100781
May 11	 2000	1.10065
May 12	 2000	1.10065
May 15	 2000	1.092368
May 16	 2000	1.101046
May 17	 2000	1.112508
May 18	 2000	1.121273
May 19	 2000	1.118108
May 22	 2000	1.110432
May 23	 2000	1.096534
May 24	 2000	1.097869
May 25	 2000	1.108635
May 26	 2000	1.092688
May 29	 2000	1.067898
May 30	 2000	1.067151
May 31	 2000	1.071834
June 1	 2000	1.070671
June 2	 2000	1.069061
June 5	 2000	1.060114
June 6	 2000	1.056283
June 7	 2000	1.046354
June 8	 2000	1.043283
June 9	 2000	1.046478
June 12	 2000	1.049559
June 13	 2000	1.042866
June 14	 2000	1.039389
June 15	 2000	1.051304
June 16	 2000	1.044609
June 19	 2000	1.038621
June 20	 2000	1.045018
June 21	 2000	1.051846
June 22	 2000	1.063038
June 23	 2000	1.06443
June 26	 2000	1.070801
June 27	 2000	1.063158
June 28	 2000	1.059521
June 29	 2000	1.059004
June 30	 2000	1.04602
July 3	 2000	1.052399
July 4	 2000	1.055732
July 5	 2000	1.047444
July 6	 2000	1.051215
July 7	 2000	1.051425
July 10	 2000	1.051198
July 11	 2000	1.047904
July 12	 2000	1.052188
July 13	 2000	1.068233
July 14	 2000	1.068155
July 17	 2000	1.067784
July 18	 2000	1.07032
July 19	 2000	1.08346
July 20	 2000	1.08253
July 21	 2000	1.069611
July 24	 2000	1.071551
July 25	 2000	1.065999
July 26	 2000	1.062168
July 27	 2000	1.064303
July 28	 2000	1.078939
July 31	 2000	1.082107
August 1	 2000	1.080929
August 2	 2000	1.089325
August 3	 2000	1.097858
August 4	 2000	1.106171
August 7	 2000	1.100385
August 8	 2000	1.10503
August 9	 2000	1.111766
August 10	 2000	1.106941
August 11	 2000	1.096198
August 14	 2000	1.107725
August 15	 2000	1.096078
August 16	 2000	1.100495
August 17	 2000	1.092111
August 18	 2000	1.09077
August 21	 2000	1.105915
August 22	 2000	1.108954
August 23	 2000	1.11901
August 24	 2000	1.110581
August 25	 2000	1.112534
August 28	 2000	1.109325
August 29	 2000	1.110371
August 30	 2000	1.125338
August 31	 2000	1.118305
September 1	 2000	1.124129
September 4	 2000	1.108537
September 5	 2000	1.120937
September 6	 2000	1.134868
September 7	 2000	1.153616
September 8	 2000	1.148484
September 11	 2000	1.164085
September 12	 2000	1.16171
September 13	 2000	1.156854
September 14	 2000	1.155152
September 15	 2000	1.15469
September 18	 2000	1.171154
September 19	 2000	1.173393
September 20	 2000	1.183314
September 21	 2000	1.174219
September 22	 2000	1.141488
September 25	 2000	1.141764
September 26	 2000	1.143706
September 27	 2000	1.128104
September 28	 2000	1.1339
September 29	 2000	1.137253
October 2	 2000	1.136266
October 3	 2000	1.140543
October 4	 2000	1.143952
October 5	 2000	1.146459
October 6	 2000	1.147481
October 9	 2000	1.150431
October 10	 2000	1.148257
October 11	 2000	1.145756
October 12	 2000	1.157255
October 13	 2000	1.156501
October 16	 2000	1.1726
October 17	 2000	1.177905
October 18	 2000	1.169229
October 19	 2000	1.187396
October 20	 2000	1.182571
October 23	 2000	1.190859
October 24	 2000	1.192821
October 25	 2000	1.201657
October 26	 2000	1.206322
October 27	 2000	1.202693
October 30	 2000	1.176159
October 31	 2000	1.187812
November 1	 2000	1.177995
November 2	 2000	1.163797
November 3	 2000	1.161451
November 6	 2000	1.147891
November 7	 2000	1.158992
November 8	 2000	1.165278
November 9	 2000	1.172478
November 10	 2000	1.151093
November 13	 2000	1.161586
November 14	 2000	1.163332
November 15	 2000	1.1634
November 16	 2000	1.166113
November 17	 2000	1.168341
November 20	 2000	1.178946
November 21	 2000	1.174053
November 22	 2000	1.180622
November 23	 2000	1.184795
November 24	 2000	1.185708
November 27	 2000	1.189913
November 28	 2000	1.172333
November 29	 2000	1.167376
November 30	 2000	1.161635
December 1	 2000	1.142433
December 4	 2000	1.138288
December 5	 2000	1.126937
December 6	 2000	1.138938
December 7	 2000	1.118216
December 8	 2000	1.129679
December 11	 2000	1.131862
December 12	 2000	1.139748
December 13	 2000	1.146985
December 14	 2000	1.131143
December 15	 2000	1.11541
December 18	 2000	1.110655
December 19	 2000	1.119494
December 20	 2000	1.107702
December 21	 2000	1.092707
December 22	 2000	1.085866
December 25	 2000	1.077462
December 26	 2000	1.072888
December 27	 2000	1.073556
December 28	 2000	1.078665
December 29	 2000	1.074667
January 1	 2001	1.061508
January 2	 2001	1.05845
January 3	 2001	1.04744
January 4	 2001	1.054179
January 5	 2001	1.049468
January 8	 2001	1.045454
January 9	 2001	1.064702
January 10	 2001	1.060258
January 11	 2001	1.062284
January 12	 2001	1.050234
January 15	 2001	1.061777
January 16	 2001	1.063138
January 17	 2001	1.065786
January 18	 2001	1.065112
January 19	 2001	1.070763
January 22	 2001	1.069904
January 23	 2001	1.062009
January 24	 2001	1.074255
January 25	 2001	1.093981
January 26	 2001	1.078416
January 29	 2001	1.082986
January 30	 2001	1.090988
January 31	 2001	1.075575
February 1	 2001	1.063294
February 2	 2001	1.063088
February 5	 2001	1.062334
February 6	 2001	1.066745
February 7	 2001	1.076642
February 8	 2001	1.079189
February 9	 2001	1.09079
February 12	 2001	1.077379
February 13	 2001	1.079439
February 14	 2001	1.08815
February 15	 2001	1.09558
February 16	 2001	1.097312
February 19	 2001	1.0943
February 20	 2001	1.099242
February 21	 2001	1.100875
February 22	 2001	1.104133
February 23	 2001	1.107115
February 26	 2001	1.098216
February 27	 2001	1.092756
February 28	 2001	1.08291
March 1	 2001	1.078682
March 2	 2001	1.067578
March 5	 2001	1.075236
March 6	 2001	1.07987
March 7	 2001	1.07275
March 8	 2001	1.071673
March 9	 2001	1.072125
March 12	 2001	1.071065
March 13	 2001	1.082468
March 14	 2001	1.09528
March 15	 2001	1.099099
March 16	 2001	1.117503
March 19	 2001	1.118314
March 20	 2001	1.108907
March 21	 2001	1.100258
March 22	 2001	1.124276
March 23	 2001	1.125816
March 26	 2001	1.121251
March 27	 2001	1.116905
March 28	 2001	1.128144
March 29	 2001	1.133307
March 30	 2001	1.139699
April 2	 2001	1.141634
April 3	 2001	1.129183
April 4	 2001	1.115573
April 5	 2001	1.110088
April 6	 2001	1.110445
April 9	 2001	1.107507
April 10	 2001	1.114641
April 11	 2001	1.123582
April 12	 2001	1.129772
April 13	 2001	1.12455
April 16	 2001	1.124796
April 17	 2001	1.13748
April 18	 2001	1.135062
April 19	 2001	1.131546
April 20	 2001	1.11526
April 23	 2001	1.115037
April 24	 2001	1.114776
April 25	 2001	1.118193
April 26	 2001	1.114639
April 27	 2001	1.107285
April 30	 2001	1.122293
May 1	 2001	1.125387
May 2	 2001	1.119494
May 3	 2001	1.116269
May 4	 2001	1.124768
May 7	 2001	1.120722
May 8	 2001	1.123175
May 9	 2001	1.130823
May 10	 2001	1.129369
May 11	 2001	1.135252
May 14	 2001	1.143004
May 15	 2001	1.144508
May 16	 2001	1.138045
May 17	 2001	1.132552
May 18	 2001	1.1335
May 21	 2001	1.135899
May 22	 2001	1.140804
May 23	 2001	1.156465
May 24	 2001	1.168643
May 25	 2001	1.166919
May 28	 2001	1.162048
May 29	 2001	1.163034
May 30	 2001	1.169112
May 31	 2001	1.167387
June 1	 2001	1.182646
June 4	 2001	1.179829
June 5	 2001	1.180638
June 6	 2001	1.17136
June 7	 2001	1.179732
June 8	 2001	1.175054
June 11	 2001	1.176056
June 12	 2001	1.187719
June 13	 2001	1.172264
June 14	 2001	1.170344
June 15	 2001	1.159219
June 18	 2001	1.15848
June 19	 2001	1.161238
June 20	 2001	1.171303
June 21	 2001	1.170001
June 22	 2001	1.170823
June 25	 2001	1.166861
June 26	 2001	1.163602
June 27	 2001	1.157876
June 28	 2001	1.163602
June 29	 2001	1.184624
July 2	 2001	1.176955
July 3	 2001	1.179523
July 4	 2001	1.178828
July 5	 2001	1.180289
July 6	 2001	1.1956
July 9	 2001	1.180707
July 10	 2001	1.175433
July 11	 2001	1.16918
July 12	 2001	1.165365
July 13	 2001	1.171646
July 16	 2001	1.170823
July 17	 2001	1.173158
July 18	 2001	1.163941
July 19	 2001	1.145082
July 20	 2001	1.14771
July 24	 2001	1.150682
July 25	 2001	1.145475
July 26	 2001	1.140706
July 27	 2001	1.139147
July 30	 2001	1.140706
July 31	 2001	1.144034
August 1	 2001	1.141227
August 2	 2001	1.135332
August 3	 2001	1.132054
August 6	 2001	1.131222
August 7	 2001	1.134881
